"","r11","","r12","","r13","","r14","","r21","","r22","","r23","","r24",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"std_length",".0223402","3.056944",".0250323","3.664782",".0204566","3.028281",".0072616","1.112779","-.0146394","-2.129626","-.0074594","-1.074172","-.0130522","-1.843977","-.0183942","-2.69632"
"std_logpopdensity",".0100669",".57099","-.0058877","-.3296512","-.0164054","-.9223658","-.0529825","-2.994685","-.0122518","-.721813",".0037322",".2160443","-.0079397","-.4638516","-.0423859","-2.506419"
"std_logincome",".0769293","5.720978",".0912195","6.374356",".1132586","7.921921",".0939938","6.833622",".0867917","6.681702",".1014908","7.351661",".1307801","9.492747",".119304","8.864544"
"std_incomediversity4adj",".1191039","12.50195",".1657711","16.96436",".181523","18.81949",".1868831","19.69386",".1202748","13.064",".1635248","17.27184",".1775844","18.99817",".1780208","19.21287"
"std_logfood",".0354098","3.482807",".0427512","4.195419",".0435568","4.30563",".0537505","5.514955",".0224079","2.28324",".0173026","1.758126",".0219528","2.251922",".0214131","2.262146"
"std_logshopping",".0020208",".2860749",".0295554","4.299968",".0329288","4.759672",".0453559","6.902139","-.0056345","-.8246465","-.0195196","-2.826366","-.0248007","-3.511913","-.0054444","-.812691"
"std_logcollege",".0196656","3.10548",".0232299","3.535044",".0248386","3.639911",".0128681","1.847897",".0085691","1.443928",".013319","2.135665",".0179115","2.753486",".0099088","1.473259"
"std_logwork",".0272224","4.025899",".0179416","2.705103",".0111951","1.666216",".0112196","1.698317",".0200143","3.138275",".0125201","1.993919",".0073963","1.178848",".015721","2.523974"
"std_logsports","-.0027898","-.4441559","-.0064572","-.9636869","-.0050098","-.7279536","-.0076758","-1.160366","-.0052446","-.8344021","-.0078247","-1.211715","-.0090789","-1.372778","-.0156554","-2.532273"
"std_logtransportation",".0123622","1.758638",".0129198","1.778888",".0161515","2.238367",".0132433","1.864367","-.0009934","-.1508139",".0104321","1.549149",".0098954","1.485797",".0063625",".948674"
"std_logservice","-.0043035","-.4914036","-.0222145","-2.616411","-.0183655","-2.133435","-.0061871","-.7372046","-.0075454","-.8929501","-.0222731","-2.713704","-.0164472","-1.98695","-.0036074","-.4458226"
"std_loghealth",".0307643","4.799667",".0261842","4.175939",".0335169","5.267423",".016194","2.55825",".0166192","2.757817",".0153901","2.579708",".0236348","3.90919",".0110114","1.850442"
"std_loggrocery","-.0263739","-3.555658","-.0179384","-2.460876","-.0205199","-2.788477","-.0235394","-3.364001","-.0306234","-4.274542","-.0229552","-3.263434","-.0275445","-3.883579","-.0313347","-4.688165"
"std_logentertainment",".0118953","1.346849",".0118685","1.381759",".0239031","2.822839",".0447287","5.461396",".0207406","2.462561",".0193094","2.360239",".0260517","3.233024",".0293389","3.789225"
"std_logcoffeetea",".0374558","4.791207",".037753","4.835096",".0426464","5.576601",".0401559","5.388469",".0180004","2.410617",".0214661","2.887664",".0268234","3.694875",".0300253","4.239341"
"std_logartsmuseum",".0082832","1.107524",".0077895","1.057095",".0129643","1.813687",".0203018","3.048948",".0032899",".4603408",".0032234",".4548232",".0064317",".9363879",".0110547","1.723681"
"std_logcityoutdoors","-.006886","-.8441722","-.0027701","-.327009","-.0001582","-.0193639","-.0072892","-.9224515","-.0129679","-1.670883","-.0065278","-.809393","-.0041845","-.5405824","-.0096181","-1.273154"
"std_safety","-.0248339","-2.538506","-.000259","-.0255318","-.0105128","-1.046531","-.020375","-2.111996","-.0041176","-.4315307",".0157237","1.59921",".0083439",".8610085",".0001236",".0132269"
"1.ncounty","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"2.ncounty","-.1578969","-2.018007","-.0491233","-.6658731","-.0259601","-.35647","-.0073696","-.0940678","-.1352166","-1.775261","-.0226172","-.3170291",".0077562",".1101669",".0135469",".1829552"
"3.ncounty",".0650974",".6027494",".0638857",".599238",".1520166","1.616344",".1435918","1.563765",".0861692",".7717581",".0861973",".8168533",".1897205","1.960066",".1937031","2.096636"
"4.ncounty",".0972608","1.775346","-.0284572","-.5148089",".004606",".0843377","-.0205374","-.3819483",".0315913",".5962652","-.058073","-1.068744","-.026462","-.4946974","-.0297817","-.5811316"
"5.ncounty",".0089977",".1136077",".1109134","1.590846",".0784193","1.093141",".0944829","1.301401",".0138908",".1798885",".1240348","1.794804",".0895634","1.307478",".1188012","1.690537"
"6.ncounty","-.2229236","-4.142694","-.3389379","-6.826064","-.2385028","-4.735318","-.2035282","-4.239811","-.2078979","-4.028162","-.3507309","-7.211015","-.262755","-5.359529","-.220755","-4.819648"
"7.ncounty","-.1327823","-2.451716","-.1610537","-3.027766","-.1564506","-2.946915","-.1623099","-3.179838","-.1793771","-3.436275","-.1834075","-3.535107","-.1956581","-3.783127","-.1980053","-4.060207"
"8.ncounty","-.0009307","-.0130378","-.0673506","-.9041111",".0147362",".1971792","-.0495124","-.6683675","-.0559919","-.818253","-.0985719","-1.369164","-.0204624","-.2878835","-.0877474","-1.246901"
"9.ncounty","-.0304693","-.3640439","-.0762475","-.934837","-.0522243","-.6330917","-.0325398","-.3963229","-.119528","-1.494668","-.1546107","-2.029586","-.1594981","-2.083008","-.1606745","-2.069318"
"10.ncounty","-.3841841","-1.664344","-.8482789","-3.07674","-.7791856","-3.739931","-.5223916","-2.502575","-.4420692","-2.20022","-.851131","-3.51816","-.7826954","-4.176918","-.484885","-2.63193"
"11.ncounty",".0646216",".9717635",".1122098","1.76628",".0957469","1.572646",".1272575","2.084354",".0476022",".7459406",".1066222","1.694715",".0876393","1.472975",".081018","1.389667"
"12.ncounty",".0831827","1.121537",".0767498","1.152289",".1013534","1.477672",".0226433",".3500953",".1364354","1.867268",".1043486","1.612052",".1364738","2.012013",".058602",".9406415"
"13.ncounty","-.3825367","-4.698657","-.3888071","-5.210724","-.4210251","-5.474812","-.3655972","-5.06407","-.3504576","-4.527431","-.3877892","-5.334889","-.4047483","-5.397881","-.352094","-5.080384"
"14.ncounty","-.0232826","-.2882739","-.0174743","-.2160001","-.0245994","-.285964","-.0313629","-.389681",".0368366",".4588156",".0589383",".7451427",".0466505",".5579209",".0578599",".7569496"
"15.ncounty","-.1891968","-2.824869","-.1751837","-2.736179","-.1176461","-1.852651","-.1576278","-2.528432","-.1968794","-3.041734","-.1970729","-3.209224","-.1366898","-2.244397","-.1959844","-3.33688"
"16.ncounty",".038908",".3618902",".1164818","1.388765",".1071732","1.242721",".0630385",".7435862",".0186713",".1755001",".039022",".496611",".0390914",".477796","-.0281206","-.3656295"
"17.ncounty","-.2130897","-2.024699","-.1732633","-1.770968","-.1999874","-2.070771","-.3003938","-3.073261","-.190392","-1.849075","-.1448459","-1.506237","-.1512605","-1.610606","-.2610929","-2.815938"
"18.ncounty","-.0227132","-.1877232","-.496373","-4.290989","-.2299204","-2.405533","-.0270767","-.289304",".0402855",".2890666","-.414341","-2.935228","-.1793522","-2.294056","-.0009021","-.0105325"
"19.ncounty","-.0226006","-.3136073",".0535115",".7919346",".1693007","2.56356",".0177445",".2817202","-.0531872","-.7607022",".0149824",".2252929",".1332443","2.073866","-.0230741","-.3777792"
"20.ncounty","-.1554261","-2.279982","-.3037431","-4.291307","-.1692424","-2.497916","-.1311295","-2.156068","-.1720921","-2.590598","-.3175274","-4.626225","-.2026848","-3.075119","-.1558564","-2.666405"
"21.ncounty","-.2397264","-2.82103","-.3391229","-3.74517","-.1952388","-2.096081","-.2312843","-2.626472","-.2394764","-2.913057","-.3364961","-3.817605","-.2110136","-2.312514","-.2352389","-2.712549"
"22.ncounty","-.1877536","-3.529952","-.2527471","-5.025079","-.2011363","-3.901343","-.1732129","-3.598226","-.1980337","-3.893903","-.2777249","-5.700352","-.2294071","-4.585216","-.2200532","-4.818661"
"23.ncounty","-.4620146","-2.481479","-.7606032","-3.409745","-.5479647","-2.390256","-.6087024","-3.016891","-.526078","-3.12435","-.776169","-3.77548","-.5215494","-2.455859","-.597515","-2.87321"
"24.ncounty","-.0662327","-1.083357","-.0957082","-1.609653","-.054439","-.915582","-.0339865","-.5832392","-.1384469","-2.328481","-.1664117","-2.852604","-.1445726","-2.478512","-.1293192","-2.293084"
"25.ncounty","-.1297552","-1.732431","-.2767547","-3.630661","-.2955982","-3.508644","-.2445385","-3.293798","-.1786533","-2.446197","-.3246462","-4.270544","-.3436411","-4.123693","-.3022353","-4.019744"
"26.ncounty",".1195562","1.303586",".0776109",".8463781",".2228725","2.690583",".2210534","2.716614",".0701859",".7623177","-.0259808","-.2882198",".1151861","1.450963",".1026878","1.306365"
"27.ncounty","-.0459786","-.8675689","-.1665435","-3.157015","-.1608917","-3.035085","-.1809576","-3.597008","-.0712041","-1.386978","-.1870783","-3.594616","-.1577636","-3.006785","-.1194362","-2.44572"
"28.ncounty",".0613109",".6948523",".0753145",".8772458",".2181503","2.532562",".1447396","1.728779",".1084125","1.268161",".1218464","1.4968",".2752877","3.407896",".2109827","2.777195"
"29.ncounty",".1146955","1.873524","-.0897618","-1.332876","-.0300258","-.4293693","-.0126949","-.2038825",".1570521","2.645863","-.0620265","-.9734487",".0222685",".3313256",".0472884",".8265343"
"30.ncounty",".0857876","1.278509","-.000179","-.0028132","-.0065371","-.1021934","-.0547258","-.8095291",".152839","2.356989",".0595252",".9625959",".0763412","1.237707",".0447254",".7198561"
"31.ncounty",".3387616","5.391742",".3169868","4.995324",".3569274","5.846412",".2523874","4.028966",".4123356","6.784549",".3700544","6.1515",".4239507","7.291898",".3262129","5.569262"
"32.ncounty",".3041059","2.585936",".2556898","1.008767","-.026014","-.0866786","-.1537276","-.3984912",".5329926","4.329175",".526634","1.883203",".2211532",".7564024",".0830649",".2143505"
"33.ncounty",".0848962","1.333072",".026243",".408956","-.012363","-.1757029",".0584587",".9348285",".0827937","1.334638",".0254799",".4131909","-.0036572","-.0541916",".0612784","1.027865"
"34.ncounty",".0400912",".4637452",".0143262",".1757325",".0354459",".4717342",".0730153","1.026762",".0895832","1.072706",".0474131",".6042337",".0750379","1.041511",".1120137","1.693199"
"35.ncounty",".1410109","1.937731",".1688864","2.731563",".142203","2.124446",".1898125","2.839192",".1604594","2.375062",".2030764","3.263524",".1899536","2.862738",".2218923","3.35645"
"36.ncounty",".0909306","1.577535",".1369494","2.617118",".1839185","3.524528",".2008401","4.033754",".1389166","2.538226",".1655309","3.284628",".226313","4.504635",".2325412","4.973651"
"std_logcount610","","","","","","","","",".4046116","22.94776","","","","","",""
"std_logcount1014","","","","","","","","","","",".2915557","21.33374","","","",""
"std_logcount1418","","","","","","","","","","","","",".2850016","22.34014","",""
"std_logcount1822","","","","","","","","","","","","","","",".3094598","23.63637"
"_cons",".6442759","15.16012",".5398924","13.52965",".5015731","12.34838",".5356781","14.02171",".267432","5.990151",".2435675","5.76745",".2261718","5.340325",".27026","7.039619"
"N","6308","","6308","","6308","","6308","","6308","","6308","","6308","","6308",""
"R-sq",".1216446","",".1690767","",".1848424","",".1965879","",".1807894","",".2276264","",".2449904","",".2601466",""
